Origin Airport,Origin city,Destination Airport,Destination city,flight number,departure,arrival,price
YOW,Ottawa,YYZ,Toronto,WS363,12:00,13:04,200
YOW,Ottawa,YYZ,Toronto,AC451,12:00,13:07,222
YOW,Ottawa,YYZ,Toronto,AC453,13:00,14:07,224
YOW,Ottawa,YYZ,Toronto,WS3465,13:40,14:59,225
YOW,Ottawa,YYZ,Toronto,AC455,14:00,15:07,225
YOW,Ottawa,YYZ,Toronto,JV503,14:45,15:55,226
YOW,Ottawa,YYZ,Toronto,AC457,15:00,16:07,227
YYZ,Toronto,YVR,Vancouver,AC101,12:10,14:26,300
YYZ,Toronto,YVR,Vancouver,WJ709,12:55,15:11,324
YYZ,Toronto,YVR,Vancouver,WJ713,14:00,16:16,450
YYZ,Toronto,YVR,Vancouver,AC109,14:20,16:36,550
YYZ,Toronto,YVR,Vancouver,AC161,16:15,18:31,600
YYZ,Toronto,YVR,Vancouver,AC137,18:00,20:00,700
YYZ,Toronto,YVR,Vancouver,WJ719,18:30,20:46,560
YYZ,Toronto,YVR,Vancouver,AC149,19:00,21:00,300
YYZ,Toronto,YVR,Vancouver,AC33,20:05,22:05,200
YUL,Montreal,YYC,Calgary,AC165,7:50,10:34,60
YUL,Montreal,YYC,Calgary,AC187,14:15,17:04,400
YUL,Montreal,YYC,Calgary,WJ217,19:15,21:59,700
YUL,Montreal,YYC,Calgary,AC155,19:45,22:29,680
YYC,Calgary,YVR,Vancouver,AC213,12:35,13:09,100
YYC,Calgary,YVR,Vancouver,WJ101,13:25,13:57,150
YYC,Calgary,YVR,Vancouver,AC215,13:35,14:09,250
YYC,Calgary,YVR,Vancouver,AC217,14:15,14:47,333
YYC,Calgary,YVR,Vancouver,WJ311,16:08,16:40,200
YYC,Calgary,YVR,Vancouver,WJ531,17:00,17:32,230
YYC,Calgary,YVR,Vancouver,AC223,17:15,17:49,202
YYC,Calgary,YVR,Vancouver,WJ553,18:20,18:52,222
YYC,Calgary,YVR,Vancouver,AC225,19:15,19:49,220
YYC,Calgary,YVR,Vancouver,AC229,21:45,22:19,200
YYC,Calgary,YVR,Vancouver,WJ557,22:00,22:32,100
YYC,Calgary,YVR,Vancouver,WJ131,23:15,23:47,83
YYZ,Toronto,YYC,Calgary,AC173,12:10,14:30,490
YYZ,Toronto,YYC,Calgary,AC121,14:05,16:25,399
YYZ,Toronto,YYC,Calgary,AC125,16:05,18:25,357
YYZ,Toronto,YYC,Calgary,WJ669,18:00,20:20,400
YYZ,Toronto,YYC,Calgary,AC133,18:10,20:30,250
YYZ,Toronto,YYC,Calgary,WJ671,19:45,22:05,345
YYZ,Toronto,YYC,Calgary,WJ673,20:40,23:00,79
YYZ,Toronto,YYC,Calgary,AC145,22:55,23:12,51
YOW,Ottawa,YUL,Montreal,AC7556,5:45,6:25,60
YOW,Ottawa,YUL,Montreal,AC8976,6:30,7:08,70
YOW,Ottawa,YUL,Montreal,AC8978,8:20,9:02,70
YOW,Ottawa,YUL,Montreal,AC8658,9:15,9:57,88
YOW,Ottawa,YUL,Montreal,AC104,13:20,14:05,150
YOW,Ottawa,YUL,Montreal,AC8980,15:40,16:22,300
YOW,Ottawa,YUL,Montreal,AC8986,18:20,19:00,256
YOW,Ottawa,YUL,Montreal,AC8988,19:20,19:58,66
YOW,Ottawa,YUL,Montreal,AC8660,20:15,20:57,40
YUL,Montreal,YVR,Vancouver,AC111,8:05,10:42,678
YUL,Montreal,YVR,Vancouver,AC_183,13:30,16:07,478
YUL,Montreal,YVR,Vancouver,AC_195,17:50,18:15,500
